                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |      14869 |      16047 |      10071 |      11492 |       9125 |      12085 |      15767 |      14927 |      16699 |      11537 |      12092 |       9404 |      12828 |       8993 |      12448 |       8295
    num cache misses                 |       9896 |       9619 |       7549 |       8287 |       6494 |       8034 |       8230 |       9241 |       8267 |       7150 |       8226 |       6194 |       7653 |       6138 |       8185 |       5810
    miss rate                        |     66.55% |     59.94% |     74.96% |     72.11% |     71.17% |     66.48% |     52.20% |     61.91% |     49.51% |     61.97% |     68.03% |     65.87% |     59.66% |     68.25% |     65.75% |     70.04%
    mpki                             |       2.52 |       2.55 |       1.87 |       2.07 |       1.55 |       2.02 |       2.18 |       2.34 |       2.29 |       1.77 |       2.08 |       1.48 |       1.97 |       1.46 |       2.05 |       1.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10252 |       9947 |       7872 |       8546 |       7442 |       9416 |       9858 |      10673 |       9939 |       8158 |       9280 |       7245 |       9107 |       7146 |       9385 |       6693
    num cache misses                 |       4317 |       1758 |       2288 |       2551 |       4963 |       5092 |       4823 |       5686 |       5087 |       5744 |       5158 |       4028 |       4636 |       4168 |       5560 |       3414
    miss rate                        |     42.11% |     17.67% |     29.07% |     29.85% |     66.69% |     54.08% |     48.92% |     53.27% |     51.18% |     70.41% |     55.58% |     55.60% |     50.91% |     58.33% |     59.24% |     51.01%
    mpki                             |       1.10 |       0.47 |       0.57 |       0.64 |       1.18 |       1.28 |       1.28 |       1.44 |       1.41 |       1.42 |       1.30 |       0.96 |       1.19 |       0.99 |       1.39 |       0.79
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       4100 |          0 |          0 |          0 |       4119 |          0 |          0 |          0 |       3867 |          0 |          0 |          0 |       3939 |          0 |          0 |          0
  average dram access latency (ns)   |      67.24 |        inf |        inf |        inf |      64.40 |        inf |        inf |        inf |      64.72 |        inf |        inf |        inf |      65.96 |        inf |        inf |        inf
  average dram queueing delay        |      13.81 |       0.00 |       0.00 |       0.00 |      10.97 |       0.00 |       0.00 |       0.00 |      11.29 |       0.00 |       0.00 |       0.00 |      12.53 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1436 |        282 |        526 |        464 |        286 |        415 |        523 |        900 |        942 |       1634 |       1068 |        728 |        649 |        670 |       1238 |        702
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2251 |        988 |       1410 |       1620 |       2985 |       3267 |       2477 |       3042 |       2183 |       2091 |       2248 |       1723 |       2281 |       1527 |       2606 |       1129
