                                     | Core 0     | Core 1    
  Instructions                       |   12880594 |   12951868
  Cycles                             |    5607261 |    5606977
  IPC                                |       2.30 |       2.31
  Time (ns)                          |    2107993 |    2107886
Branch predictor stats               |            |           
  num correct                        |     445772 |    1241718
  num incorrect                      |      21553 |      20323
  misprediction rate                 |      4.61% |      1.61%
  mpki                               |       1.67 |       1.57
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1082652 |     854720
    num misses                       |         18 |         53
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |    4753537 |    4776753
    num misses                       |       1061 |        744
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.08 |       0.06
  L2 TLB                             |            |           
    num accesses                     |       1079 |        797
    num misses                       |        348 |        453
    miss rate                        |     32.25% |     56.84%
    mpki                             |       0.03 |       0.03
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1082652 |     854720
    num cache misses                 |       1639 |       1582
    miss rate                        |      0.15% |      0.19%
    mpki                             |       0.13 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |    4754138 |    4777648
    num cache misses                 |      58986 |      49940
    miss rate                        |      1.24% |      1.05%
    mpki                             |       4.58 |       3.86
  Cache L2                           |            |           
    num cache accesses               |      60685 |      51569
    num cache misses                 |      23200 |      21565
    miss rate                        |     38.23% |     41.82%
    mpki                             |       1.80 |       1.67
  Cache L3                           |            |           
    num cache accesses               |      23268 |      21618
    num cache misses                 |       4434 |       4678
    miss rate                        |     19.06% |     21.64%
    mpki                             |       0.34 |       0.36
DRAM summary                         |            |           
  num dram accesses                  |       9111 |          0
  average dram access latency (ns)   |      58.74 |        inf
  average dram queueing delay        |       5.32 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         27 |         22
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
