                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4303164 |    3703500 |    4025664 |    4044066 |    4184341 |    3951433 |    3770296 |    3883973 |    3903214 |    3983803 |    4194328 |    3593562 |    3867257 |    3983621 |    3826212 |    4331047
  Cycles                             |    2107509 |    2089701 |    2059387 |    2086289 |    2071739 |    2074752 |    2062764 |    2061900 |    2063589 |    2060816 |    2066286 |    2061763 |    2089399 |    2080308 |    2077796 |    2083293
  IPC                                |       2.04 |       1.77 |       1.95 |       1.94 |       2.02 |       1.90 |       1.83 |       1.88 |       1.89 |       1.93 |       2.03 |       1.74 |       1.85 |       1.91 |       1.84 |       2.08
  Time (ns)                          |     792297 |     785602 |     774206 |     784319 |     778850 |     779982 |     775476 |     775151 |     775786 |     774743 |     776800 |     775099 |     785489 |     782071 |     781127 |     783193
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1148857 |     427996 |     982741 |     902557 |    1137347 |     810868 |     620741 |     698063 |     810188 |     908318 |    1036835 |     441683 |     720875 |     774677 |     604400 |    1163690
  num incorrect                      |       4034 |       7338 |       4672 |       4250 |       3160 |       4330 |       6243 |       4199 |       3942 |       3064 |       3514 |       7119 |       5944 |       3838 |       4910 |       3303
  misprediction rate                 |      0.35% |      1.69% |      0.47% |      0.47% |      0.28% |      0.53% |      1.00% |      0.60% |      0.48% |      0.34% |      0.34% |      1.59% |      0.82% |      0.49% |      0.81% |      0.28%
  mpki                               |       0.94 |       1.98 |       1.16 |       1.05 |       0.76 |       1.10 |       1.66 |       1.08 |       1.01 |       0.77 |       0.84 |       1.98 |       1.54 |       0.96 |       1.28 |       0.76
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      87654 |     261578 |     110677 |     135767 |      78735 |     155833 |     200812 |     178016 |     148451 |     123932 |     108050 |     234136 |     180819 |     166659 |     201320 |      82832
    num misses                       |         13 |         53 |         50 |         44 |         44 |         44 |         51 |         50 |         44 |         44 |         44 |         52 |         46 |         44 |         51 |         44
    miss rate                        |      0.01% |      0.02% |      0.05% |      0.03% |      0.06% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.02% |      0.03% |      0.03% |      0.03% |      0.05%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1533245 |    1470919 |    1435230 |    1444399 |    1475455 |    1416893 |    1481952 |    1437690 |    1428134 |    1461996 |    1483921 |    1457823 |    1486666 |    1441602 |    1416973 |    1537057
    num misses                       |        496 |        722 |        543 |        538 |        399 |        490 |        643 |        590 |        478 |        424 |        396 |        581 |        429 |        481 |        611 |        359
    miss rate                        |      0.03% |      0.05% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.02%
    mpki                             |       0.12 |       0.19 |       0.13 |       0.13 |       0.10 |       0.12 |       0.17 |       0.15 |       0.12 |       0.11 |       0.09 |       0.16 |       0.11 |       0.12 |       0.16 |       0.08
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        509 |        775 |        593 |        582 |        443 |        534 |        694 |        640 |        522 |        468 |        440 |        633 |        475 |        525 |        662 |        403
    num misses                       |        200 |        355 |        314 |        290 |        240 |        293 |        306 |        334 |        277 |        266 |        235 |        310 |        269 |        283 |        331 |        234
    miss rate                        |     39.29% |     45.81% |     52.95% |     49.83% |     54.18% |     54.87% |     44.09% |     52.19% |     53.07% |     56.84% |     53.41% |     48.97% |     56.63% |     53.90% |     50.00% |     58.06%
    mpki                             |       0.05 |       0.10 |       0.08 |       0.07 |       0.06 |       0.07 |       0.08 |       0.09 |       0.07 |       0.07 |       0.06 |       0.09 |       0.07 |       0.07 |       0.09 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      87654 |     261578 |     110677 |     135767 |      78735 |     155833 |     200812 |     178016 |     148451 |     123932 |     108050 |     234136 |     180819 |     166659 |     201320 |      82832
    num cache misses                 |        880 |       1055 |        844 |        864 |        747 |        833 |        911 |        934 |        879 |        758 |        739 |       1037 |        899 |        794 |        949 |        733
    miss rate                        |      1.00% |      0.40% |      0.76% |      0.64% |      0.95% |      0.53% |      0.45% |      0.52% |      0.59% |      0.61% |      0.68% |      0.44% |      0.50% |      0.48% |      0.47% |      0.88%
    mpki                             |       0.20 |       0.28 |       0.21 |       0.21 |       0.18 |       0.21 |       0.24 |       0.24 |       0.23 |       0.19 |       0.18 |       0.29 |       0.23 |       0.20 |       0.25 |       0.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1534332 |    1471847 |    1436158 |    1445289 |    1476225 |    1417773 |    1482733 |    1438665 |    1429110 |    1462805 |    1484705 |    1458713 |    1487409 |    1442440 |    1418350 |    1537896
    num cache misses                 |       7809 |      14327 |       9011 |      10223 |       7260 |       9733 |      13212 |      12551 |      10156 |       9801 |       7651 |      14145 |      10497 |      10382 |      12791 |       6602
    miss rate                        |      0.51% |      0.97% |      0.63% |      0.71% |      0.49% |      0.69% |      0.89% |      0.87% |      0.71% |      0.67% |      0.52% |      0.97% |      0.71% |      0.72% |      0.90% |      0.43%
    mpki                             |       1.81 |       3.87 |       2.24 |       2.53 |       1.74 |       2.46 |       3.50 |       3.23 |       2.60 |       2.46 |       1.82 |       3.94 |       2.71 |       2.61 |       3.34 |       1.52
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8949 |      15718 |      10176 |      11350 |       8952 |      11944 |      15757 |      14925 |      12080 |      11558 |       9427 |      16864 |      12796 |      12343 |      15296 |       8176
    num cache misses                 |       6362 |       9449 |       7722 |       8200 |       6328 |       8014 |       8243 |       9259 |       8218 |       7162 |       6155 |       8505 |       7596 |       8070 |       9644 |       5733
    miss rate                        |     71.09% |     60.12% |     75.88% |     72.25% |     70.69% |     67.10% |     52.31% |     62.04% |     68.03% |     61.97% |     65.29% |     50.43% |     59.36% |     65.38% |     63.05% |     70.12%
    mpki                             |       1.48 |       2.55 |       1.92 |       2.03 |       1.51 |       2.03 |       2.19 |       2.38 |       2.11 |       1.80 |       1.47 |       2.37 |       1.96 |       2.03 |       2.52 |       1.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6622 |       9795 |       8050 |       8465 |       7276 |       9399 |       9883 |      10711 |       9270 |       8169 |       7194 |      10197 |       9005 |       9240 |      11203 |       6575
    num cache misses                 |       2433 |       2831 |       2432 |       2179 |       4752 |       5003 |       4959 |       5799 |       5195 |       5590 |       4047 |       5368 |       4500 |       5466 |       5805 |       3472
    miss rate                        |     36.74% |     28.90% |     30.21% |     25.74% |     65.31% |     53.23% |     50.18% |     54.14% |     56.04% |     68.43% |     56.26% |     52.64% |     49.97% |     59.16% |     51.82% |     52.81%
    mpki                             |       0.57 |       0.76 |       0.60 |       0.54 |       1.14 |       1.27 |       1.32 |       1.49 |       1.33 |       1.40 |       0.96 |       1.49 |       1.16 |       1.37 |       1.52 |       0.80
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3914 |          0 |          0 |          0 |       3911 |          0 |          0 |          0 |       3872 |          0 |          0 |          0 |       4005 |          0 |          0 |          0
  average dram access latency (ns)   |      63.53 |        inf |        inf |        inf |      62.04 |        inf |        inf |        inf |      62.94 |        inf |        inf |        inf |      62.51 |        inf |        inf |        inf
  average dram queueing delay        |      10.10 |       0.00 |       0.00 |       0.00 |       8.62 |       0.00 |       0.00 |       0.00 |       9.51 |       0.00 |       0.00 |       0.00 |       9.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        378 |       1132 |        502 |        318 |        518 |        322 |        518 |        969 |       1295 |       1443 |        593 |       1046 |        546 |       1154 |       1011 |        597
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1425 |       1220 |       1561 |       1463 |       2625 |       3303 |       2594 |       3032 |       1987 |       2153 |       1959 |       2293 |       2245 |       2598 |       2704 |       1270
