                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5274228 |    4796158 |    5501976 |    5260760 |    5544164 |    4886854 |    4856111 |    4820905
  Cycles                             |    2577430 |    2560364 |    2569408 |    2566443 |    2560201 |    2560722 |    2560279 |    2569167
  IPC                                |       2.05 |       1.87 |       2.14 |       2.05 |       2.17 |       1.91 |       1.90 |       1.88
  Time (ns)                          |     968959 |     962543 |     965943 |     964828 |     962482 |     962678 |     962511 |     965852
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     851434 |     504198 |     987133 |     527663 |    1197748 |     665092 |     450746 |     669936
  num incorrect                      |       8059 |       8127 |       6265 |       8731 |       5719 |       5888 |       6514 |       7882
  misprediction rate                 |      0.94% |      1.59% |      0.63% |      1.63% |      0.48% |      0.88% |      1.42% |      1.16%
  mpki                               |       1.53 |       1.69 |       1.14 |       1.66 |       1.03 |       1.20 |       1.34 |       1.63
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     269069 |     296466 |     250200 |     372376 |     189357 |     254236 |     309932 |     240204
    num misses                       |         18 |         52 |         44 |         52 |         51 |         51 |         50 |         52
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.01% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1953663 |    2057497 |    1960904 |    1996238 |    1962953 |    1988691 |    1998724 |    2048726
    num misses                       |        483 |        749 |        437 |        519 |        434 |        587 |        647 |        606
    miss rate                        |      0.02% |      0.04% |      0.02% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.09 |       0.16 |       0.08 |       0.10 |       0.08 |       0.12 |       0.13 |       0.13
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        501 |        801 |        481 |        571 |        485 |        638 |        697 |        658
    num misses                       |        211 |        391 |        288 |        321 |        306 |        389 |        415 |        355
    miss rate                        |     42.12% |     48.81% |     59.88% |     56.22% |     63.09% |     60.97% |     59.54% |     53.95%
    mpki                             |       0.04 |       0.08 |       0.05 |       0.06 |       0.06 |       0.08 |       0.09 |       0.07
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     269069 |     296466 |     250200 |     372376 |     189357 |     254236 |     309932 |     240204
    num cache misses                 |       1106 |       1136 |        990 |       1159 |        823 |       1120 |       1047 |       1017
    miss rate                        |      0.41% |      0.38% |      0.40% |      0.31% |      0.43% |      0.44% |      0.34% |      0.42%
    mpki                             |       0.21 |       0.24 |       0.18 |       0.22 |       0.15 |       0.23 |       0.22 |       0.21
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1954363 |    2058330 |    1961696 |    1996984 |    1963678 |    1989889 |    1999665 |    2049384
    num cache misses                 |      14180 |      24131 |      14422 |      17359 |      12347 |      20656 |      22473 |      19894
    miss rate                        |      0.73% |      1.17% |      0.74% |      0.87% |      0.63% |      1.04% |      1.12% |      0.97%
    mpki                             |       2.69 |       5.03 |       2.62 |       3.30 |       2.23 |       4.23 |       4.63 |       4.13
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15498 |      25489 |      15579 |      18801 |      15107 |      23675 |      25749 |      23123
    num cache misses                 |       9546 |      15357 |       9636 |      10713 |       8421 |      15403 |      16151 |      14232
    miss rate                        |     61.60% |     60.25% |     61.85% |     56.98% |     55.74% |     65.06% |     62.72% |     61.55%
    mpki                             |       1.81 |       3.20 |       1.75 |       2.04 |       1.52 |       3.15 |       3.33 |       2.95
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9762 |      15585 |       9805 |      11002 |      10361 |      17305 |      18386 |      16447
    num cache misses                 |       2876 |       5499 |       1644 |       1835 |       5618 |      10150 |      10514 |       8938
    miss rate                        |     29.46% |     35.28% |     16.77% |     16.68% |     54.22% |     58.65% |     57.18% |     54.34%
    mpki                             |       0.55 |       1.15 |       0.30 |       0.35 |       1.01 |       2.08 |       2.17 |       1.85
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       8894 |          0 |          0 |          0 |       8915 |          0 |          0 |          0
  average dram access latency (ns)   |      60.98 |        inf |        inf |        inf |      62.89 |        inf |        inf |        inf
  average dram queueing delay        |       7.55 |       0.00 |       0.00 |       0.00 |       9.46 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         27 |          9 |          3 |         11 |         12 |          7 |          6 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2299 |       1121 |       1298 |       1583 |       3477 |       3726 |       4662 |       2838
