                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3917036 |    3798492 |    3947358 |    4061928 |    4192017 |    4031635 |    3767248 |    3900752 |    4128984 |    4005139 |    3890000 |    3655252 |    3862580 |    4290394 |    3965427 |    4125202
  Cycles                             |    2182767 |    2135126 |    2163716 |    2157711 |    2148999 |    2137816 |    2140216 |    2151887 |    2143328 |    2135002 |    2163955 |    2135307 |    2160706 |    2142013 |    2146053 |    2154622
  IPC                                |       1.79 |       1.78 |       1.82 |       1.88 |       1.95 |       1.89 |       1.76 |       1.81 |       1.93 |       1.88 |       1.80 |       1.71 |       1.79 |       2.00 |       1.85 |       1.91
  Time (ns)                          |     820589 |     802679 |     813427 |     811170 |     807895 |     803690 |     804593 |     808980 |     805763 |     802633 |     813517 |     802747 |     812296 |     805268 |     806787 |     810009
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     627959 |     459775 |     870237 |     995705 |    1139897 |     837655 |     619936 |     703841 |    1014937 |     914718 |     805760 |     462246 |     719322 |    1149975 |     768686 |    1096476
  num incorrect                      |       5274 |       7422 |       4303 |       4487 |       3158 |       4322 |       6188 |       4147 |       3525 |       3108 |       3922 |       7150 |       5926 |       3343 |       3811 |       3596
  misprediction rate                 |      0.83% |      1.59% |      0.49% |      0.45% |      0.28% |      0.51% |      0.99% |      0.59% |      0.35% |      0.34% |      0.48% |      1.52% |      0.82% |      0.29% |      0.49% |      0.33%
  mpki                               |       1.35 |       1.95 |       1.09 |       1.10 |       0.75 |       1.07 |       1.64 |       1.06 |       0.85 |       0.78 |       1.01 |       1.96 |       1.53 |       0.78 |       0.96 |       0.87
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     206485 |     261833 |     135787 |     110333 |      78738 |     155803 |     200735 |     177936 |     108115 |     124266 |     148493 |     234108 |     180844 |      82895 |     166638 |      82462
    num misses                       |         15 |         53 |         44 |         44 |         44 |         44 |         45 |         44 |         44 |         51 |         44 |         52 |         45 |         50 |         44 |         44
    miss rate                        |      0.01% |      0.02% |      0.03% |      0.04% |      0.06% |      0.03% |      0.02% |      0.02% |      0.04% |      0.04% |      0.03% |      0.02% |      0.02% |      0.06% |      0.03% |      0.05%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1453127 |    1505841 |    1412166 |    1447033 |    1478025 |    1443631 |    1480862 |    1443195 |    1462189 |    1469391 |    1423739 |    1478334 |    1485105 |    1523592 |    1435517 |    1467990
    num misses                       |        708 |        621 |        525 |        479 |        389 |        521 |        515 |        696 |        346 |        465 |        487 |        579 |        389 |        335 |        472 |        353
    miss rate                        |      0.05% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03% |      0.05% |      0.02% |      0.03% |      0.03% |      0.04% |      0.03% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.18 |       0.16 |       0.13 |       0.12 |       0.09 |       0.13 |       0.14 |       0.18 |       0.08 |       0.12 |       0.13 |       0.16 |       0.10 |       0.08 |       0.12 |       0.09
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        723 |        674 |        569 |        523 |        433 |        565 |        560 |        740 |        390 |        516 |        531 |        631 |        434 |        385 |        516 |        397
    num misses                       |        269 |        367 |        288 |        277 |        237 |        291 |        278 |        310 |        236 |        298 |        278 |        314 |        262 |        256 |        283 |        242
    miss rate                        |     37.21% |     54.45% |     50.62% |     52.96% |     54.73% |     51.50% |     49.64% |     41.89% |     60.51% |     57.75% |     52.35% |     49.76% |     60.37% |     66.49% |     54.84% |     60.96%
    mpki                             |       0.07 |       0.10 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.08 |       0.06 |       0.07 |       0.07 |       0.09 |       0.07 |       0.06 |       0.07 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     206485 |     261833 |     135787 |     110333 |      78738 |     155803 |     200735 |     177936 |     108115 |     124266 |     148493 |     234108 |     180844 |      82895 |     166638 |      82462
    num cache misses                 |       1070 |       1135 |        826 |        797 |        729 |        815 |        885 |        898 |        735 |        788 |        836 |        977 |        878 |        765 |        786 |        739
    miss rate                        |      0.52% |      0.43% |      0.61% |      0.72% |      0.93% |      0.52% |      0.44% |      0.50% |      0.68% |      0.63% |      0.56% |      0.42% |      0.49% |      0.92% |      0.47% |      0.90%
    mpki                             |       0.27 |       0.30 |       0.21 |       0.20 |       0.17 |       0.20 |       0.23 |       0.23 |       0.18 |       0.20 |       0.21 |       0.27 |       0.23 |       0.18 |       0.20 |       0.18
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1454746 |    1506775 |    1413062 |    1447959 |    1478795 |    1444507 |    1481646 |    1444181 |    1462985 |    1470192 |    1424724 |    1479218 |    1485855 |    1524427 |    1436351 |    1468837
    num cache misses                 |      13448 |      13822 |      10199 |       8903 |       7235 |       9729 |      12967 |      12510 |       7588 |       9869 |      10106 |      14187 |      10373 |       6611 |      10431 |       7134
    miss rate                        |      0.92% |      0.92% |      0.72% |      0.61% |      0.49% |      0.67% |      0.88% |      0.87% |      0.52% |      0.67% |      0.71% |      0.96% |      0.70% |      0.43% |      0.73% |      0.49%
    mpki                             |       3.43 |       3.64 |       2.58 |       2.19 |       1.73 |       2.41 |       3.44 |       3.21 |       1.84 |       2.46 |       2.60 |       3.88 |       2.69 |       1.54 |       2.63 |       1.73
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14887 |      15267 |      11284 |      10009 |       8891 |      11908 |      15468 |      14821 |       9382 |      11654 |      11979 |      16858 |      12647 |       8221 |      12426 |       8883
    num cache misses                 |       9902 |       9562 |       8152 |       7581 |       6318 |       7995 |       8103 |       9118 |       6137 |       7373 |       8230 |       8430 |       7557 |       5824 |       8159 |       6008
    miss rate                        |     66.51% |     62.63% |     72.24% |     75.74% |     71.06% |     67.14% |     52.39% |     61.52% |     65.41% |     63.27% |     68.70% |     50.01% |     59.75% |     70.84% |     65.66% |     67.63%
    mpki                             |       2.53 |       2.52 |       2.07 |       1.87 |       1.51 |       1.98 |       2.15 |       2.34 |       1.49 |       1.84 |       2.12 |       2.31 |       1.96 |       1.36 |       2.06 |       1.46
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10281 |       9879 |       8415 |       7894 |       7248 |       9367 |       9731 |      10533 |       7199 |       8375 |       9270 |      10130 |       8965 |       6669 |       9374 |       7018
    num cache misses                 |       4659 |       3049 |       2309 |       3263 |       4735 |       5112 |       4689 |       5766 |       4006 |       5611 |       5332 |       5162 |       4547 |       3564 |       5545 |       4005
    miss rate                        |     45.32% |     30.86% |     27.44% |     41.34% |     65.33% |     54.57% |     48.19% |     54.74% |     55.65% |     67.00% |     57.52% |     50.96% |     50.72% |     53.44% |     59.15% |     57.07%
    mpki                             |       1.19 |       0.80 |       0.58 |       0.80 |       1.13 |       1.27 |       1.24 |       1.48 |       0.97 |       1.40 |       1.37 |       1.41 |       1.18 |       0.83 |       1.40 |       0.97
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       5943 |          0 |          0 |          0 |       5911 |          0 |          0 |          0 |       5877 |          0 |          0 |          0 |       5951 |          0 |          0 |          0
  average dram access latency (ns)   |     132.91 |        inf |        inf |        inf |     109.51 |        inf |        inf |        inf |     117.36 |        inf |        inf |        inf |     131.74 |        inf |        inf |        inf
  average dram queueing delay        |      79.48 |       0.00 |       0.00 |       0.00 |      56.08 |       0.00 |       0.00 |       0.00 |      63.93 |       0.00 |       0.00 |       0.00 |      78.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1605 |        305 |        636 |        576 |        335 |        510 |        436 |        930 |        591 |       1234 |       1136 |        801 |        558 |        699 |       1415 |        816
