                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5261229 |    4759369 |    5232776 |    5501347 |    5561839 |    4900350 |    4863400 |    4806528
  Cycles                             |    2553567 |    2543609 |    2538596 |    2536312 |    2535122 |    2546180 |    2540808 |    2546193
  IPC                                |       2.06 |       1.87 |       2.06 |       2.17 |       2.19 |       1.92 |       1.91 |       1.89
  Time (ns)                          |     959988 |     956244 |     954360 |     953501 |     953054 |     957211 |     955191 |     957216
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     847022 |     492489 |     517678 |     986350 |    1204067 |     669984 |     453778 |     665140
  num incorrect                      |       8103 |       8183 |       8828 |       6316 |       5714 |       5847 |       6498 |       7886
  misprediction rate                 |      0.95% |      1.63% |      1.68% |      0.64% |      0.47% |      0.87% |      1.41% |      1.17%
  mpki                               |       1.54 |       1.72 |       1.69 |       1.15 |       1.03 |       1.19 |       1.34 |       1.64
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     269096 |     296526 |     372649 |     250448 |     189159 |     254051 |     309631 |     240192
    num misses                       |         16 |         54 |         53 |         51 |         51 |         45 |         51 |         53
    miss rate                        |      0.01% |      0.02% |      0.01% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1949354 |    2048432 |    1987126 |    1960910 |    1968708 |    1993047 |    2000922 |    2043940
    num misses                       |        499 |        718 |        638 |        519 |        426 |        633 |        649 |        753
    miss rate                        |      0.03% |      0.04% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.09 |       0.15 |       0.12 |       0.09 |       0.08 |       0.13 |       0.13 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        515 |        772 |        691 |        570 |        477 |        678 |        700 |        806
    num misses                       |        210 |        409 |        344 |        325 |        304 |        366 |        411 |        358
    miss rate                        |     40.78% |     52.98% |     49.78% |     57.02% |     63.73% |     53.98% |     58.71% |     44.42%
    mpki                             |       0.04 |       0.09 |       0.07 |       0.06 |       0.05 |       0.07 |       0.08 |       0.07
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     269096 |     296526 |     372649 |     250448 |     189159 |     254051 |     309631 |     240192
    num cache misses                 |       1058 |       1223 |       1190 |        991 |        879 |       1028 |       1065 |        965
    miss rate                        |      0.39% |      0.41% |      0.32% |      0.40% |      0.46% |      0.40% |      0.34% |      0.40%
    mpki                             |       0.20 |       0.26 |       0.23 |       0.18 |       0.16 |       0.21 |       0.22 |       0.20
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1950065 |    2049260 |    1987871 |    1961700 |    1969428 |    1994247 |    2001854 |    2044597
    num cache misses                 |      14188 |      24115 |      17310 |      14456 |      11992 |      20639 |      22344 |      19904
    miss rate                        |      0.73% |      1.18% |      0.87% |      0.74% |      0.61% |      1.03% |      1.12% |      0.97%
    mpki                             |       2.70 |       5.07 |       3.31 |       2.63 |       2.16 |       4.21 |       4.59 |       4.14
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15449 |      25575 |      18786 |      15628 |      14791 |      23570 |      25627 |      23087
    num cache misses                 |       9531 |      15521 |      10907 |       9770 |       8380 |      15245 |      16151 |      14202
    miss rate                        |     61.69% |     60.69% |     58.06% |     62.52% |     56.66% |     64.68% |     63.02% |     61.52%
    mpki                             |       1.81 |       3.26 |       2.08 |       1.78 |       1.51 |       3.11 |       3.32 |       2.95
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9740 |      15766 |      11196 |       9955 |      10301 |      17154 |      18377 |      16423
    num cache misses                 |       2868 |       5436 |       1893 |       1697 |       5496 |      10226 |      10491 |       9011
    miss rate                        |     29.45% |     34.48% |     16.91% |     17.05% |     53.35% |     59.61% |     57.09% |     54.87%
    mpki                             |       0.55 |       1.14 |       0.36 |       0.31 |       0.99 |       2.09 |       2.16 |       1.87
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       9019 |          0 |          0 |          0 |       9043 |          0 |          0 |          0
  average dram access latency (ns)   |      64.09 |        inf |        inf |        inf |      64.88 |        inf |        inf |        inf
  average dram queueing delay        |      10.66 |       0.00 |       0.00 |       0.00 |      11.46 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         35 |          9 |         15 |         14 |          7 |          7 |          6 |         11
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2283 |       1066 |       1633 |       1333 |       3407 |       3738 |       4654 |       2919
