                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    7760133 |    7455399 |    7639205 |    8125310
  Cycles                             |    3757999 |    3757078 |    3755259 |    3757219
  IPC                                |       2.06 |       1.98 |       2.03 |       2.16
  Time (ns)                          |    1412782 |    1412436 |    1411752 |    1412489
Branch predictor stats               |            |            |            |           
  num correct                        |     661733 |     736197 |     456484 |    1071545
  num incorrect                      |      11355 |      11975 |      14146 |      10593
  misprediction rate                 |      1.69% |      1.60% |      3.01% |      0.98%
  mpki                               |       1.46 |       1.61 |       1.85 |       1.30
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     531631 |     483056 |     589758 |     436691
    num misses                       |         15 |         54 |         52 |         52
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2950824 |    2918336 |    3069915 |    3135659
    num misses                       |        687 |        541 |        621 |        584
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.09 |       0.07 |       0.08 |       0.07
  L2 TLB                             |            |            |            |           
    num accesses                     |        702 |        595 |        673 |        636
    num misses                       |        306 |        373 |        380 |        385
    miss rate                        |     43.59% |     62.69% |     56.46% |     60.53%
    mpki                             |       0.04 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     531631 |     483056 |     589758 |     436691
    num cache misses                 |       1168 |       1127 |       1309 |       1212
    miss rate                        |      0.22% |      0.23% |      0.22% |      0.28%
    mpki                             |       0.15 |       0.15 |       0.17 |       0.15
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2951569 |    2918842 |    3070894 |    3136417
    num cache misses                 |      32102 |      31763 |      31200 |      30397
    miss rate                        |      1.09% |      1.09% |      1.02% |      0.97%
    mpki                             |       4.14 |       4.26 |       4.08 |       3.74
  Cache L2                           |            |            |            |           
    num cache accesses               |      33355 |      32937 |      32662 |      31706
    num cache misses                 |      18448 |      16080 |      16858 |      17311
    miss rate                        |     55.31% |     48.82% |     51.61% |     54.60%
    mpki                             |       2.38 |       2.16 |       2.21 |       2.13
  Cache L3                           |            |            |            |           
    num cache accesses               |      18541 |      16130 |      17020 |      17413
    num cache misses                 |       4416 |       4284 |       4385 |       4385
    miss rate                        |     23.82% |     26.56% |     25.76% |     25.18%
    mpki                             |       0.57 |       0.57 |       0.57 |       0.54
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17469 |          0 |          0 |          0
  average dram access latency (ns)   |   12598.04 |        inf |        inf |        inf
  average dram queueing delay        |   12544.61 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         29 |          9 |         12 |         10
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
