                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       0.13 |       0.18 |       0.12 |       0.12 |       0.08 |       0.12 |       0.14 |       0.21 |       0.15 |       0.11 |       0.11 |       0.08 |       0.15 |       0.11 |       0.09 |       0.13
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        557 |        717 |        552 |        518 |        368 |        516 |        564 |        885 |        611 |        509 |        488 |        364 |        584 |        469 |        407 |        544
    num misses                       |        199 |        354 |        306 |        287 |        240 |        289 |        274 |        308 |        308 |        282 |        302 |        235 |        296 |        277 |        240 |        294
    miss rate                        |     35.73% |     49.37% |     55.43% |     55.41% |     65.22% |     56.01% |     48.58% |     34.80% |     50.41% |     55.40% |     61.89% |     64.56% |     50.68% |     59.06% |     58.97% |     54.04%
    mpki                             |       0.05 |       0.09 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.08 |       0.08 |       0.07 |       0.08 |       0.06 |       0.08 |       0.07 |       0.06 |       0.08
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      88021 |     261567 |     110705 |     135775 |      78775 |     155818 |     200746 |     177931 |     201279 |     124001 |     148545 |     108068 |     233938 |     166623 |      82495 |     181151
    num cache misses                 |        888 |       1053 |        873 |        885 |        744 |        884 |        857 |        994 |        982 |        831 |        950 |        761 |        978 |        861 |        765 |        946
    miss rate                        |      1.01% |      0.40% |      0.79% |      0.65% |      0.94% |      0.57% |      0.43% |      0.56% |      0.49% |      0.67% |      0.64% |      0.70% |      0.42% |      0.52% |      0.93% |      0.52%
    mpki                             |       0.20 |       0.28 |       0.21 |       0.22 |       0.18 |       0.22 |       0.23 |       0.25 |       0.25 |       0.20 |       0.25 |       0.18 |       0.27 |       0.22 |       0.19 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1545948 |    1485091 |    1472769 |    1441310 |    1464217 |    1451651 |    1492388 |    1457948 |    1438224 |    1486475 |    1409511 |    1480139 |    1456044 |    1441637 |    1460890 |    1491487
    num cache misses                 |       7329 |      14235 |       8960 |      10282 |       7275 |       9894 |      12988 |      12289 |      12551 |       9850 |      10210 |       7768 |      14250 |      10228 |       7134 |      10527
    miss rate                        |      0.47% |      0.96% |      0.61% |      0.71% |      0.50% |      0.68% |      0.87% |      0.84% |      0.87% |      0.66% |      0.72% |      0.52% |      0.98% |      0.71% |      0.49% |      0.71%
    mpki                             |       1.69 |       3.80 |       2.17 |       2.55 |       1.75 |       2.44 |       3.42 |       3.12 |       3.23 |       2.43 |       2.66 |       1.86 |       3.97 |       2.57 |       1.74 |       2.71
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8465 |      15627 |      10139 |      11442 |       8958 |      12131 |      15452 |      14722 |      15090 |      11671 |      12198 |       9618 |      16915 |      12265 |       8914 |      12895
    num cache misses                 |       6142 |       9442 |       7772 |       8254 |       6338 |       8050 |       8086 |       9252 |       9611 |       7332 |       8395 |       6261 |       8458 |       8108 |       6032 |       7716
    miss rate                        |     72.56% |     60.42% |     76.65% |     72.14% |     70.75% |     66.36% |     52.33% |     62.84% |     63.69% |     62.82% |     68.82% |     65.10% |     50.00% |     66.11% |     67.67% |     59.84%
    mpki                             |       1.42 |       2.52 |       1.88 |       2.05 |       1.53 |       1.99 |       2.13 |       2.35 |       2.47 |       1.81 |       2.18 |       1.50 |       2.36 |       2.04 |       1.47 |       1.99
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6396 |       9787 |       8084 |       8533 |       7282 |       9409 |       9704 |      10702 |      11175 |       8326 |       9436 |       7356 |      10152 |       9286 |       7050 |       9147
    num cache misses                 |       2139 |       2996 |       2217 |       2581 |       4823 |       5102 |       4759 |       5722 |       5891 |       5670 |       5894 |       4299 |       5740 |       4868 |       3918 |       4606
    miss rate                        |     33.44% |     30.61% |     27.42% |     30.25% |     66.23% |     54.22% |     49.04% |     53.47% |     52.72% |     68.10% |     62.46% |     58.44% |     56.54% |     52.42% |     55.57% |     50.36%
    mpki                             |       0.49 |       0.80 |       0.54 |       0.64 |       1.16 |       1.26 |       1.25 |       1.45 |       1.52 |       1.40 |       1.53 |       1.03 |       1.60 |       1.22 |       0.96 |       1.19
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3937 |          0 |          0 |          0 |       3967 |          0 |          0 |          0 |       3943 |          0 |          0 |          0 |       4039 |          0 |          0 |          0
  average dram access latency (ns)   |      65.31 |        inf |        inf |        inf |      61.39 |        inf |        inf |        inf |      62.05 |        inf |        inf |        inf |      62.25 |        inf |        inf |        inf
  average dram queueing delay        |      11.88 |       0.00 |       0.00 |       0.00 |       7.96 |       0.00 |       0.00 |       0.00 |       8.62 |       0.00 |       0.00 |       0.00 |       8.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        880 |       1110 |        190 |        434 |        592 |        344 |        538 |        971 |        540 |       1547 |       1301 |        631 |       1167 |       1201 |        715 |        560
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        690 |       1333 |       1646 |       1707 |       2628 |       3327 |       2441 |       2993 |       3546 |       2188 |       2686 |       2053 |       2272 |       2096 |       1433 |       2347
