                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4336683 |    3745955 |    4135388 |    4032070 |    4148163 |    4053099 |    3799447 |    3942137 |    3886040 |    4054556 |    3844178 |    4180575 |    3586117 |    3981207 |    4101250 |    3878625
  Cycles                             |    2142821 |    2124880 |    2094833 |    2121791 |    2124952 |    2102265 |    2118872 |    2116042 |    2104722 |    2098922 |    2098233 |    2112996 |    2096638 |    2099312 |    2110190 |    2094966
  IPC                                |       2.02 |       1.76 |       1.97 |       1.90 |       1.95 |       1.93 |       1.79 |       1.86 |       1.85 |       1.93 |       1.83 |       1.98 |       1.71 |       1.90 |       1.94 |       1.85
  Time (ns)                          |     805572 |     798827 |     787532 |     797666 |     798854 |     790325 |     796569 |     795505 |     791249 |     789069 |     788810 |     794360 |     788210 |     789215 |     793305 |     787582
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1158649 |     441845 |    1019318 |     898484 |    1125151 |     844807 |     630673 |     717624 |     624593 |     931752 |     790283 |    1032177 |     439484 |     773873 |    1088322 |     723870
  num incorrect                      |       3738 |       7395 |       4610 |       4297 |       3218 |       4302 |       6181 |       4210 |       4847 |       3064 |       4017 |       3565 |       7188 |       3865 |       3681 |       6048
  misprediction rate                 |      0.32% |      1.65% |      0.45% |      0.48% |      0.29% |      0.51% |      0.97% |      0.58% |      0.77% |      0.33% |      0.51% |      0.34% |      1.61% |      0.50% |      0.34% |      0.83%
  mpki                               |       0.86 |       1.97 |       1.11 |       1.07 |       0.78 |       1.06 |       1.63 |       1.07 |       1.25 |       0.76 |       1.04 |       0.85 |       2.00 |       0.97 |       0.90 |       1.56
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      88021 |     261567 |     110705 |     135775 |      78775 |     155818 |     200746 |     177931 |     201279 |     124001 |     148545 |     108068 |     233938 |     166623 |      82495 |     181151
    num misses                       |         13 |         53 |         50 |         44 |         45 |         44 |         45 |         44 |         44 |         50 |         50 |         44 |         52 |         44 |         44 |         52
    miss rate                        |      0.01% |      0.02% |      0.05% |      0.03% |      0.06% |      0.03% |      0.02% |      0.02% |      0.02% |      0.04% |      0.03% |      0.04% |      0.02% |      0.03% |      0.05% |      0.03%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1544867 |    1484160 |    1471830 |    1440410 |    1463433 |    1450772 |    1491599 |    1456972 |    1436845 |    1485669 |    1408537 |    1479357 |    1455162 |    1440799 |    1460033 |    1490750
    num misses                       |        544 |        664 |        502 |        474 |        323 |        472 |        519 |        841 |        567 |        459 |        438 |        320 |        532 |        425 |        363 |        492
    miss rate                        |      0.04% |      0.04% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.06% |      0.04% |      0.03% |      0.03% |      0.02% |      0.04% |      0.03% |      0.02% |      0.03%
