                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5237589 |    4796566 |    5482046 |    5272331 |    5541315 |    4846825 |    4834399 |    4792315
  Cycles                             |    2584719 |    2576361 |    2566118 |    2568551 |    2571183 |    2564803 |    2576356 |    2573887
  IPC                                |       2.03 |       1.86 |       2.14 |       2.05 |       2.16 |       1.89 |       1.88 |       1.86
  Time (ns)                          |     971699 |     968557 |     964706 |     965621 |     966610 |     964212 |     968555 |     967627
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     839183 |     504202 |     979809 |     531559 |    1197344 |     651536 |     444258 |     660374
  num incorrect                      |       8080 |       8098 |       6373 |       8707 |       5705 |       5923 |       6464 |       7891
  misprediction rate                 |      0.95% |      1.58% |      0.65% |      1.61% |      0.47% |      0.90% |      1.43% |      1.18%
  mpki                               |       1.54 |       1.69 |       1.16 |       1.65 |       1.03 |       1.22 |       1.34 |       1.65
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     269078 |     296438 |     250473 |     372371 |     189111 |     254333 |     309586 |     240203
    num misses                       |         15 |         54 |         52 |         53 |         51 |         51 |         45 |         53
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.01% |      0.03% |      0.02% |      0.01% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1941468 |    2056848 |    1954482 |    2000096 |    1961793 |    1975451 |    1991191 |    2039222
    num misses                       |        510 |        665 |        478 |        557 |        392 |        619 |        640 |        567
    miss rate                        |      0.03% |      0.03% |      0.02% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.10 |       0.14 |       0.09 |       0.11 |       0.07 |       0.13 |       0.13 |       0.12
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        525 |        719 |        530 |        610 |        443 |        670 |        685 |        620
    num misses                       |        219 |        394 |        323 |        328 |        296 |        400 |        389 |        355
    miss rate                        |     41.71% |     54.80% |     60.94% |     53.77% |     66.82% |     59.70% |     56.79% |     57.26%
    mpki                             |       0.04 |       0.08 |       0.06 |       0.06 |       0.05 |       0.08 |       0.08 |       0.07
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     269078 |     296438 |     250473 |     372371 |     189111 |     254333 |     309586 |     240203
    num cache misses                 |       1076 |       1101 |        952 |       1137 |        833 |       1123 |       1021 |       1040
    miss rate                        |      0.40% |      0.37% |      0.38% |      0.31% |      0.44% |      0.44% |      0.33% |      0.43%
    mpki                             |       0.21 |       0.23 |       0.17 |       0.22 |       0.15 |       0.23 |       0.21 |       0.22
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1942176 |    2057675 |    1955282 |    2000837 |    1962516 |    1976649 |    1992133 |    2039882
    num cache misses                 |      14194 |      24054 |      14492 |      17405 |      12259 |      20640 |      22328 |      19913
    miss rate                        |      0.73% |      1.17% |      0.74% |      0.87% |      0.62% |      1.04% |      1.12% |      0.98%
    mpki                             |       2.71 |       5.01 |       2.64 |       3.30 |       2.21 |       4.26 |       4.62 |       4.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15482 |      25380 |      15623 |      18820 |      15014 |      23685 |      25567 |      23163
    num cache misses                 |       9468 |      15233 |       9701 |      10709 |       8361 |      15439 |      16027 |      14276
    miss rate                        |     61.15% |     60.02% |     62.09% |     56.90% |     55.69% |     65.18% |     62.69% |     61.63%
    mpki                             |       1.81 |       3.18 |       1.77 |       2.03 |       1.51 |       3.19 |       3.32 |       2.98
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9683 |      15468 |       9882 |      10993 |      10285 |      17362 |      18254 |      16489
    num cache misses                 |       2875 |       5584 |       1488 |       1890 |       5453 |      10398 |      10356 |       8865
    miss rate                        |     29.69% |     36.10% |     15.06% |     17.19% |     53.02% |     59.89% |     56.73% |     53.76%
    mpki                             |       0.55 |       1.16 |       0.27 |       0.36 |       0.98 |       2.15 |       2.14 |       1.85
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       8894 |          0 |          0 |          0 |       8915 |          0 |          0 |          0
  average dram access latency (ns)   |      59.50 |        inf |        inf |        inf |      59.37 |        inf |        inf |        inf
  average dram queueing delay        |       6.07 |       0.00 |       0.00 |       0.00 |       5.94 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         26 |          9 |          9 |         11 |          4 |         10 |          5 |         10
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2293 |       1233 |       1130 |       1639 |       3400 |       3882 |       4532 |       2784
