                                     | Core 0     | Core 1    
  Instructions                       |     173261 |     184982
  Cycles                             |     150275 |     149693
  IPC                                |       1.15 |       1.24
  Time (ns)                          |      56495 |      56276
Branch predictor stats               |            |           
  num correct                        |      16369 |      19106
  num incorrect                      |       1154 |       1165
  misprediction rate                 |      6.59% |      5.75%
  mpki                               |       6.66 |       6.30
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      13618 |      13734
    num misses                       |          9 |         34
    miss rate                        |      0.07% |      0.25%
    mpki                             |       0.05 |       0.18
  D-TLB                              |            |           
    num accesses                     |      44250 |      44770
    num misses                       |         35 |         76
    miss rate                        |      0.08% |      0.17%
    mpki                             |       0.20 |       0.41
  L2 TLB                             |            |           
    num accesses                     |         44 |        110
    num misses                       |         15 |        101
    miss rate                        |     34.09% |     91.82%
    mpki                             |       0.09 |       0.55
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13618 |      13734
    num cache misses                 |        212 |        243
    miss rate                        |      1.56% |      1.77%
    mpki                             |       1.22 |       1.31
  Cache L1-D                         |            |           
    num cache accesses               |      44345 |      44838
    num cache misses                 |        867 |       1008
    miss rate                        |      1.96% |      2.25%
    mpki                             |       5.00 |       5.45
  Cache L2                           |            |           
    num cache accesses               |       1160 |       1316
    num cache misses                 |        542 |       1174
    miss rate                        |     46.72% |     89.21%
    mpki                             |       3.13 |       6.35
  Cache L3                           |            |           
    num cache accesses               |        689 |       1239
    num cache misses                 |        324 |        327
    miss rate                        |     47.02% |     26.39%
    mpki                             |       1.87 |       1.77
DRAM summary                         |            |           
  num dram accesses                  |        651 |          0
  average dram access latency (ns)   |     140.41 |        inf
  average dram queueing delay        |      86.98 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         27 |         71
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
