                                     | Core 0     | Core 1    
  Instructions                       |     173273 |     180587
  Cycles                             |     149872 |     149290
  IPC                                |       1.16 |       1.21
  Time (ns)                          |      56343 |      56124
Branch predictor stats               |            |           
  num correct                        |      16365 |      18009
  num incorrect                      |       1160 |       1167
  misprediction rate                 |      6.62% |      6.09%
  mpki                               |       6.69 |       6.46
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      13618 |      13726
    num misses                       |          8 |         34
    miss rate                        |      0.06% |      0.25%
    mpki                             |       0.05 |       0.19
  D-TLB                              |            |           
    num accesses                     |      44252 |      44763
    num misses                       |         36 |         75
    miss rate                        |      0.08% |      0.17%
    mpki                             |       0.21 |       0.42
  L2 TLB                             |            |           
    num accesses                     |         44 |        109
    num misses                       |         15 |        101
    miss rate                        |     34.09% |     92.66%
    mpki                             |       0.09 |       0.56
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13618 |      13726
    num cache misses                 |        205 |        243
    miss rate                        |      1.51% |      1.77%
    mpki                             |       1.18 |       1.35
  Cache L1-D                         |            |           
    num cache accesses               |      44349 |      44832
    num cache misses                 |        869 |       1008
    miss rate                        |      1.96% |      2.25%
    mpki                             |       5.02 |       5.58
  Cache L2                           |            |           
    num cache accesses               |       1154 |       1317
    num cache misses                 |        553 |       1173
    miss rate                        |     47.92% |     89.07%
    mpki                             |       3.19 |       6.50
  Cache L3                           |            |           
    num cache accesses               |        699 |       1239
    num cache misses                 |        323 |        328
    miss rate                        |     46.21% |     26.47%
    mpki                             |       1.86 |       1.82
DRAM summary                         |            |           
  num dram accesses                  |        651 |          0
  average dram access latency (ns)   |     125.98 |        inf
  average dram queueing delay        |      72.55 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         27 |         71
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
